,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A01,1,1,출입구-승강장,1,,1) 15번 출입구 진입
1,AR,A1,A01,1,1,출입구-승강장,2,,2) 엘리베이터(1호기/2호기) 이용 지하 3층으로 이동
2,AR,A1,A01,1,1,출입구-승강장,3,,3) 개집표기 통과 후 일반열차 승강장 엘리베이터(5호기/6호기) 이용
3,AR,A1,A01,1,1,출입구-승강장,4,,4) 지하 7층으로 이동
4,AR,A1,A01,1,1,출입구-승강장,5,,5) 일반열차 승강장 이용
5,AR,A1,A01,2,1,출입구-승강장,1,,1) 15번 출입구 진입
6,AR,A1,A01,2,1,출입구-승강장,2,,2) 엘리베이터(1호기/2호기) 이용 지하 2층으로 이동
7,AR,A1,A01,2,1,출입구-승강장,3,,3) 개집표기 통과 후 직통열차 승강장 엘리베이터(3호기/4호기) 이용
8,AR,A1,A01,2,1,출입구-승강장,4,,4) 지하 7층으로 이동
9,AR,A1,A01,2,1,출입구-승강장,5,,5) 직통열차 승강장 이용
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A02,1,1,출입구-승강장,1,,1) 10번 출입구 근처 엘리베이터 이용 지하 3층으로 이동
1,AR,A1,A02,1,1,출입구-승강장,2,,2) 대합실에서 개집표구로 이동
2,AR,A1,A02,1,1,출입구-승강장,3,,3) 개집표구 통과 후 엘리베이터로 이동
3,AR,A1,A02,1,1,출입구-승강장,4,,4) 서울역 방면 승강장 엘리베이터 이용하여 지하 4층 이동
4,AR,A1,A02,1,1,출입구-승강장,5,,5) 지하 4층 서울역 방면 승강장 이용
5,AR,A1,A02,2,1,출입구-승강장,1,,1) 10번 출입구 근처 엘리베이터 이용 지하 3층으로 이동
6,AR,A1,A02,2,1,출입구-승강장,2,,2) 대합실에서 개집표구로 이동
7,AR,A1,A02,2,1,출입구-승강장,3,,3) 개집표구 통과 후 엘리베이터로 이동
8,AR,A1,A02,2,1,출입구-승강장,4,,4) 서울역 방면 승강장 엘리베이터 이용하여 지하 4층 이동
9,AR,A1,A02,2,1,출입구-승강장,5,,5) 지하 4층 서울역 방면 승강장 이용
10,AR,A1,A02,1,3,환승경로,1,,1) 서울역 방면 승강장 3번차량 근처 엘리베이터 지하 3층으로 이동
11,AR,A1,A02,1,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트를 통과하여 대합실 이동
12,AR,A1,A02,1,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
13,AR,A1,A02,1,3,환승경로,4,,4) 6호선 효창공원 승강장 엘리베이터 이용하여 지하 2층 이동
14,AR,A1,A02,1,3,환승경로,5,,5) 6호선 승강장에서 5호선 환승통로로 이동
15,AR,A1,A02,1,3,환승경로,6,,6) 5호선 환승통로에서 엘리베이터 이용하여 지하 3층 승강징 이동
16,AR,A1,A02,1,3,환승경로,7,,7) 마포/애오개 방면 승강장
17,AR,A1,A02,2,3,환승경로,1,,1) 서울역 방면 승강장 3번차량 근처 엘리베이터 지하 3층으로 이동
18,AR,A1,A02,2,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 대합실 이동
19,AR,A1,A02,2,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
20,AR,A1,A02,2,3,환승경로,4,,4) 6호선 효창공원 승강장 엘리베이터 이용하여 지하 2층 이동
21,AR,A1,A02,2,3,환승경로,5,,5) 6호선 승강장에서 5호선 환승통로로 이동
22,AR,A1,A02,2,3,환승경로,6,,6) 5호선 환승통로에서 엘리베이터 이용하여 지하 3층 승강징 이동
23,AR,A1,A02,2,3,환승경로,7,,7) 마포/애오개 방면 승강장
24,AR,A1,A02,3,3,환승경로,1,,1) 홍대입구 방면 승강장 4번차량 근처 엘리베이터 지하 3층으로 이동
25,AR,A1,A02,3,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 대합실 이동
26,AR,A1,A02,3,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
27,AR,A1,A02,3,3,환승경로,4,,4) 6호선 효창공원 승강장 엘리베이터 이용하여 지하 2층 이동
28,AR,A1,A02,3,3,환승경로,5,,5) 6호선 승강장에서 5호선 환승통로로 이동
29,AR,A1,A02,3,3,환승경로,6,,6) 5호선 환승통로에서 엘리베이터 이용하여 지하 3층 승강징 이동
30,AR,A1,A02,3,3,환승경로,7,,7) 마포/애오개 방면 승강장
31,AR,A1,A02,4,3,환승경로,1,,1) 홍대입구 방면 승강장 4번차량 근처 엘리베이터 지하 3층으로 이동
32,AR,A1,A02,4,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 대합실 이동
33,AR,A1,A02,4,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
34,AR,A1,A02,4,3,환승경로,4,,4) 6호선 효창공원 승강장 엘리베이터 이용하여 지하 2층 이동
35,AR,A1,A02,4,3,환승경로,5,,5) 6호선 승강장에서 5호선 환승통로로 이동
36,AR,A1,A02,4,3,환승경로,6,,6) 5호선 환승통로에서 엘리베이터 이용하여 지하 3층 승강징 이동
37,AR,A1,A02,4,3,환승경로,7,,7) 마포/애오개 방면 승강장
38,AR,A1,A02,5,3,환승경로,1,,1) 서울역 방면 승강장 3번차량 근처 엘리베이터 지하 3층으로 이동
39,AR,A1,A02,5,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 대합실 이동
40,AR,A1,A02,5,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
41,AR,A1,A02,5,3,환승경로,4,,4) 6호선 대흥방면 승강장 엘리베이터 이용하여 지하 2층 이동
42,AR,A1,A02,5,3,환승경로,5,,5) 대흥방면 승강장 이용
43,AR,A1,A02,6,3,환승경로,1,,1) 서울역 방면 승강장 3번차량 근처 엘리베이터 지하 3층으로 이동
44,AR,A1,A02,6,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 대합실 이동
45,AR,A1,A02,6,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
46,AR,A1,A02,6,3,환승경로,4,,4) 6호선 효창공원앞 방면 승강장 엘리베이터 이용하여 지하 2층 이동
47,AR,A1,A02,6,3,환승경로,5,,5) 효창공원앞 방면 승강장 이용
48,AR,A1,A02,7,3,환승경로,1,,1) 홍대입구 방면 승강장 4번차량 근처 엘리베이터 지하 3층으로 이동
49,AR,A1,A02,7,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 대합실 이동
50,AR,A1,A02,7,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
51,AR,A1,A02,7,3,환승경로,4,,4) 6호선 대흥방면 승강장 엘리베이터 이용하여 지하 2층 이동
52,AR,A1,A02,7,3,환승경로,5,,5) 대흥방면 승강장 이용
53,AR,A1,A02,8,3,환승경로,1,,1) 홍대입구 방면 승강장 4번차량 근처 엘리베이터 지하 3층으로 이동
54,AR,A1,A02,8,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 대합실 이동
55,AR,A1,A02,8,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
56,AR,A1,A02,8,3,환승경로,4,,4) 6호선 효창공원앞 방면 승강장 엘리베이터 이용하여 지하 2층 이동
57,AR,A1,A02,8,3,환승경로,5,,5) 효창공원앞 방면 승강장 이용
58,AR,A1,A02,9,3,환승경로,1,,1) 서울역 방면 승강장 3번차량 근처 엘리베이터 지하 3층으로 이동
59,AR,A1,A02,9,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 게이트 옆 서강대 방면 승강장 엘리베이터 이용
60,AR,A1,A02,9,3,환승경로,3,,3) 엘리베이터 이용하여 지하 2층 승강장 이동
61,AR,A1,A02,9,3,환승경로,4,,4) 서강대 방면 승강장 이용
62,AR,A1,A02,10,3,환승경로,1,,1) 서울역 방면 승강장 3번차량 근처 엘리베이터 지하 3층으로 이동
63,AR,A1,A02,10,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 게이트 옆 효창공원 방면 승강장 엘리베이터 이용
64,AR,A1,A02,10,3,환승경로,3,,3) 엘리베이터 이용하여 지하 2층 승강장 이동
65,AR,A1,A02,10,3,환승경로,4,,4) 효창공원앞 방면 승강장 이용
66,AR,A1,A02,11,3,환승경로,1,,1) 홍대입구 방면 승강장 4번차량 근처 엘리베이터 지하 3층으로 이동
67,AR,A1,A02,11,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 게이트 옆 서강대 방면 승강장 엘리베이터 이용
68,AR,A1,A02,11,3,환승경로,3,,3) 엘리베이터 이용하여 지하 2층 승강장 이동
69,AR,A1,A02,11,3,환승경로,4,,4) 서강대 방면 승강장 이용
70,AR,A1,A02,12,3,환승경로,1,,1) 홍대입구 방면 승강장 4번차량 근처 엘리베이터 지하 3층으로 이동
71,AR,A1,A02,12,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 게이트 옆 효창공원 방면 승강장 엘리베이터 이용
72,AR,A1,A02,12,3,환승경로,3,,3) 엘리베이터 이용하여 지하 2층 승강장 이동
73,AR,A1,A02,12,3,환승경로,4,,4) 효창공원앞 방면 승강장 이용
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A03,1,1,출입구-승강장,1,,1) 4번 출입구 근처 엘리베이터 이용 지하 2층으로 이동
1,AR,A1,A03,1,1,출입구-승강장,2,,2) 공항철도 환승통로 이동
2,AR,A1,A03,1,1,출입구-승강장,3,,3) 지하 2층 맞이방에서 서울역 방면 엘리베이터 이용
3,AR,A1,A03,1,1,출입구-승강장,4,,4) 공항철도 서울역 방면 승강장 이용
4,AR,A1,A03,1,1,출입구-승강장,5,,5) 지하 3층으로 이동
5,AR,A1,A03,2,1,출입구-승강장,1,,1) 4번 출입구 근처 엘리베이터 이용 지하 2층으로 이동
6,AR,A1,A03,2,1,출입구-승강장,2,,2) 공항철도 환승통로 이동
7,AR,A1,A03,2,1,출입구-승강장,3,,3) 지하 2층 맞이방에서 디지털미디어시티 방면 엘리베이터 이용
8,AR,A1,A03,2,1,출입구-승강장,4,,4) 지하 3층으로 이동
9,AR,A1,A03,2,1,출입구-승강장,5,,5) 공항철도 디지털미디어시티 방면 승강장 이용
10,AR,A1,A03,3,1,출입구-승강장,1,,1) 7번 출입구 근처 엘리베이터 이용 지하 2층으로 이동
11,AR,A1,A03,3,1,출입구-승강장,2,,2) 공항철도 환승통로 이동
12,AR,A1,A03,3,1,출입구-승강장,3,,3) 지하 2층 맞이방에서 서울역 방면 엘리베이터 이용
13,AR,A1,A03,3,1,출입구-승강장,4,,4) 지하 3층으로 이동
14,AR,A1,A03,3,1,출입구-승강장,5,,5) 공항철도 서울역 방면 승강장 이용
15,AR,A1,A03,4,1,출입구-승강장,1,,1) 7번 출입구 근처 엘리베이터 이용 지하 2층으로 이동
16,AR,A1,A03,4,1,출입구-승강장,2,,2) 공항철도 환승통로 이동
17,AR,A1,A03,4,1,출입구-승강장,3,,3) 지하 2층 맞이방에서 디지털미디어시티 방면 엘리베이터 이용
18,AR,A1,A03,4,1,출입구-승강장,4,,4) 지하 3층으로 이동
19,AR,A1,A03,4,1,출입구-승강장,5,,5) 공항철도 디지털미디어시티 방면 승강장 이용
20,AR,A1,A03,1,3,환승경로,1,,1) 서울역 방면 승강장
21,AR,A1,A03,1,3,환승경로,2,,2) 3번칸 근처 엘리베이터 이용
22,AR,A1,A03,1,3,환승경로,3,,3) 지하2층 이동 후 2호선 환승통로 이용
23,AR,A1,A03,1,3,환승경로,4,,4) 4번출입구 근처 엘리베이터 이용
24,AR,A1,A03,1,3,환승경로,5,,5) 지하1층 이동 후 환승통로 이용
25,AR,A1,A03,1,3,환승경로,6,,6) 엘리베이터 이용
26,AR,A1,A03,1,3,환승경로,7,,7) 지하2층 승강장 이동
27,AR,A1,A03,2,3,환승경로,1,,1) 디지털미디어시티 방면 승강장
28,AR,A1,A03,2,3,환승경로,2,,2) 4번칸 근처 엘리베이터 이용
29,AR,A1,A03,2,3,환승경로,3,,3) 지하2층 이동 후 2호선 환승통로 이용
30,AR,A1,A03,2,3,환승경로,4,,4) 4번출입구 근처 엘리베이터 이용
31,AR,A1,A03,2,3,환승경로,5,,5) 지하1층 이동 후 환승통로 이용
32,AR,A1,A03,2,3,환승경로,6,,6) 엘리베이터 이용
33,AR,A1,A03,2,3,환승경로,7,,7) 지하2층 승강장 이동
34,AR,A1,A03,3,3,환승경로,1,,1) 서울역 방면 승강장
35,AR,A1,A03,3,3,환승경로,2,,2) 3번칸 근처 엘리베이터 이용
36,AR,A1,A03,3,3,환승경로,3,,3) 지하2층 이동
37,AR,A1,A03,3,3,환승경로,4,,4) 고객센터 근처 서강방면 엘리베이터 이용
38,AR,A1,A03,3,3,환승경로,5,,5) 지하1층 승강장 이동
39,AR,A1,A03,4,3,환승경로,1,,1) 서울역 방면 승강장
40,AR,A1,A03,4,3,환승경로,2,,2) 3번칸 근처 엘리베이터 이용
41,AR,A1,A03,4,3,환승경로,3,,3) 지하2층 이동
42,AR,A1,A03,4,3,환승경로,4,,4) 고객센터 근처 가좌방면 엘리베이터 이용
43,AR,A1,A03,4,3,환승경로,5,,5) 지하1층 승강장 이동
44,AR,A1,A03,5,3,환승경로,1,,1) 디지털미디어시티 방면 승강장
45,AR,A1,A03,5,3,환승경로,2,,2) 4번칸 근처 엘리베이터 이용
46,AR,A1,A03,5,3,환승경로,3,,3) 지하2층 이동
47,AR,A1,A03,5,3,환승경로,4,,4) 고객센터 근처 서강방면 엘리베이터 이용
48,AR,A1,A03,5,3,환승경로,5,,5) 지하1층 승강장 이동
49,AR,A1,A03,6,3,환승경로,1,,1) 디지털미디어시티 방면 승강장
50,AR,A1,A03,6,3,환승경로,2,,2) 4번칸 근처 엘리베이터 이용
51,AR,A1,A03,6,3,환승경로,3,,3) 지하2층 이동
52,AR,A1,A03,6,3,환승경로,4,,4) 고객센터 근처 가좌방면 엘리베이터 이용
53,AR,A1,A03,6,3,환승경로,5,,5) 지하1층 승강장 이동
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A04,1,1,출입구-승강장,1,,1) 7번 출입구 근처 엘리베이터 이용
1,AR,A1,A04,1,1,출입구-승강장,2,,2) 지하 1층으로 이동
2,AR,A1,A04,1,1,출입구-승강장,3,,3) 개집표기 통과
3,AR,A1,A04,1,1,출입구-승강장,4,,4) 마곡나루 방면 엘리베이터 이용
4,AR,A1,A04,1,1,출입구-승강장,5,,5) 승강장으로 이동
5,AR,A1,A04,2,1,출입구-승강장,1,,1) 9번 출입구 근처 엘리베이터 이용
6,AR,A1,A04,2,1,출입구-승강장,2,,2) 지하 1층으로 이동
7,AR,A1,A04,2,1,출입구-승강장,3,,3) 개집표기 통과
8,AR,A1,A04,2,1,출입구-승강장,4,,4) 마곡나루 방면 엘리베이터 이용
9,AR,A1,A04,2,1,출입구-승강장,5,,5) 승강장으로 이동
10,AR,A1,A04,3,1,출입구-승강장,1,,1) 7번 출입구 근처 엘리베이터 이용
11,AR,A1,A04,3,1,출입구-승강장,2,,2) 지하 1층으로 이동
12,AR,A1,A04,3,1,출입구-승강장,3,,3) 개집표기 통과
13,AR,A1,A04,3,1,출입구-승강장,4,,4) 홍대입구 방면 엘리베이터 이용
14,AR,A1,A04,3,1,출입구-승강장,5,,5) 승강장으로 이동
15,AR,A1,A04,4,1,출입구-승강장,1,,1) 9번 출입구 근처 엘리베이터 이용
16,AR,A1,A04,4,1,출입구-승강장,2,,2) 지하 1층으로 이동
17,AR,A1,A04,4,1,출입구-승강장,3,,3) 개집표기 통과
18,AR,A1,A04,4,1,출입구-승강장,4,,4) 홍대입구 방면 엘리베이터 이용
19,AR,A1,A04,4,1,출입구-승강장,5,,5) 승강장으로 이동
20,AR,A1,A04,1,3,환승경로,1,,1) 마곡나루 방면 승강장
21,AR,A1,A04,1,3,환승경로,2,,2) 승강장 엘리베이터 이용
22,AR,A1,A04,1,3,환승경로,3,,3) 지하 1층으로 이동
23,AR,A1,A04,1,3,환승경로,4,,4) 개집표기 통과
24,AR,A1,A04,1,3,환승경로,5,,5) 6호선 방면 환승통로 엘리베이터 이용
25,AR,A1,A04,1,3,환승경로,6,,6) 6호선 증산 방면 승강장 계단 휠체어리프트 이용
26,AR,A1,A04,1,3,환승경로,7,,7) 지하 2층으로 이동
27,AR,A1,A04,1,3,환승경로,8,,8) 증산 방면 승강장
28,AR,A1,A04,2,3,환승경로,1,,1) 마곡나루 방면 승강장
29,AR,A1,A04,2,3,환승경로,2,,2) 승강장 엘리베이터 이용
30,AR,A1,A04,2,3,환승경로,3,,3) 지하 1층으로 이동
31,AR,A1,A04,2,3,환승경로,4,,4) 개집표기 통과
32,AR,A1,A04,2,3,환승경로,5,,5) 6호선 방면 환승통로 엘리베이터 이용
33,AR,A1,A04,2,3,환승경로,6,,6) 6호선 월드컵경기장 방면 승강장 계단 휠체어리프트 이용
34,AR,A1,A04,2,3,환승경로,7,,7) 지하 2층으로 이동
35,AR,A1,A04,2,3,환승경로,8,,8) 월드컵경기장 방면 승강장
36,AR,A1,A04,3,3,환승경로,1,,1) 마곡나루 방면 승강장
37,AR,A1,A04,3,3,환승경로,2,,2) 승강장 엘리베이터 이용
38,AR,A1,A04,3,3,환승경로,3,,3) 지하 1층으로 이동
39,AR,A1,A04,3,3,환승경로,4,,4) 개집표기 통과
40,AR,A1,A04,3,3,환승경로,5,,5) 6호선 방면 환승통로 엘리베이터 이용
41,AR,A1,A04,3,3,환승경로,6,,6) 6호선 월드컵경기장 방면 승강장 계단 휠체어리프트 이용
42,AR,A1,A04,3,3,환승경로,7,,7) 지하 2층으로 이동
43,AR,A1,A04,3,3,환승경로,8,,8) 경의선 방면 엘리베이터 이용
44,AR,A1,A04,3,3,환승경로,9,,9) 지하 1층으로 이동
45,AR,A1,A04,3,3,환승경로,10,,10) 경의선 수색 방면 환승통로 휠체어리프트 이용
46,AR,A1,A04,3,3,환승경로,11,,11) 지상 1층으로 이동
47,AR,A1,A04,3,3,환승경로,12,,12) 수색 방면 승강장
48,AR,A1,A04,4,3,환승경로,1,,1) 마곡나루 방면 승강장
49,AR,A1,A04,4,3,환승경로,2,,2) 승강장 엘리베이터 이용
50,AR,A1,A04,4,3,환승경로,3,,3) 지하 1층으로 이동
51,AR,A1,A04,4,3,환승경로,4,,4) 개집표기 통과
52,AR,A1,A04,4,3,환승경로,5,,5) 6호선 방면 환승통로 엘리베이터 이용
53,AR,A1,A04,4,3,환승경로,6,,6) 6호선 월드컵경기장 방면 승강장 계단 휠체어리프트 이용
54,AR,A1,A04,4,3,환승경로,7,,7) 지하 2층으로 이동
55,AR,A1,A04,4,3,환승경로,8,,8) 경의선 방면 엘리베이터 이용
56,AR,A1,A04,4,3,환승경로,9,,9) 지하 1층으로 이동
57,AR,A1,A04,4,3,환승경로,10,,10) 경의선 수색 방면 환승통로 휠체어리프트 이용
58,AR,A1,A04,4,3,환승경로,11,,11) 지상 1층으로 이동
59,AR,A1,A04,4,3,환승경로,12,,12) 가좌 방면 승강장
60,AR,A1,A04,5,3,환승경로,1,,1) 홍대입구 방면 승강장
61,AR,A1,A04,5,3,환승경로,2,,2) 승강장 엘리베이터 이용
62,AR,A1,A04,5,3,환승경로,3,,3) 지하 1층으로 이동
63,AR,A1,A04,5,3,환승경로,4,,4) 개집표기 통과
64,AR,A1,A04,5,3,환승경로,5,,5) 6호선 방면 환승통로 엘리베이터 이용
65,AR,A1,A04,5,3,환승경로,6,,6) 6호선 증산 방면 승강장 계단 휠체어리프트 이용
66,AR,A1,A04,5,3,환승경로,7,,7) 지하 2층으로 이동
67,AR,A1,A04,5,3,환승경로,8,,8) 증산 방면 승강장
68,AR,A1,A04,6,3,환승경로,1,,1) 홍대입구 방면 승강장
69,AR,A1,A04,6,3,환승경로,2,,2) 승강장 엘리베이터 이용
70,AR,A1,A04,6,3,환승경로,3,,3) 지하 1층으로 이동
71,AR,A1,A04,6,3,환승경로,4,,4) 개집표기 통과
72,AR,A1,A04,6,3,환승경로,5,,5) 6호선 방면 환승통로 엘리베이터 이용
73,AR,A1,A04,6,3,환승경로,6,,6) 6호선 월드컵경기장 방면 승강장 계단 휠체어리프트 이용
74,AR,A1,A04,6,3,환승경로,7,,7) 지하 2층으로 이동
75,AR,A1,A04,6,3,환승경로,8,,8) 월드컵경기장 방면 승강장
76,AR,A1,A04,7,3,환승경로,1,,1) 홍대입구 방면 승강장
77,AR,A1,A04,7,3,환승경로,2,,2) 승강장 엘리베이터 이용
78,AR,A1,A04,7,3,환승경로,3,,3) 지하 1층으로 이동
79,AR,A1,A04,7,3,환승경로,4,,4) 개집표기 통과
80,AR,A1,A04,7,3,환승경로,5,,5) 6호선 방면 환승통로 엘리베이터 이용
81,AR,A1,A04,7,3,환승경로,6,,6) 6호선 월드컵경기장 방면 승강장 계단 휠체어리프트 이용
82,AR,A1,A04,7,3,환승경로,7,,7) 지하 2층으로 이동
83,AR,A1,A04,7,3,환승경로,8,,8) 경의선 방면 엘리베이터 이용
84,AR,A1,A04,7,3,환승경로,9,,9) 지하 1층으로 이동
85,AR,A1,A04,7,3,환승경로,10,,10) 경의선 수색 방면 승강장 계단 휠체어리프트 이용
86,AR,A1,A04,7,3,환승경로,11,,11) 지상 1층으로 이동
87,AR,A1,A04,7,3,환승경로,12,,12) 수색 방면 승강장
88,AR,A1,A04,8,3,환승경로,1,,1) 홍대입구 방면 승강장
89,AR,A1,A04,8,3,환승경로,2,,2) 승강장 엘리베이터 이용
90,AR,A1,A04,8,3,환승경로,3,,3) 지하 1층으로 이동
91,AR,A1,A04,8,3,환승경로,4,,4) 개집표기 통과
92,AR,A1,A04,8,3,환승경로,5,,5) 6호선 방면 환승통로 엘리베이터 이용
93,AR,A1,A04,8,3,환승경로,6,,6) 6호선 월드컵경기장 방면 승강장 계단 휠체어리프트 이용
94,AR,A1,A04,8,3,환승경로,7,,7) 지하 2층으로 이동
95,AR,A1,A04,8,3,환승경로,8,,8) 경의선 방면 엘리베이터 이용
96,AR,A1,A04,8,3,환승경로,9,,9) 지하 1층으로 이동
97,AR,A1,A04,8,3,환승경로,10,,10) 경의선 가좌 방면 승강장 계단 휠체어리프트 이용
98,AR,A1,A04,8,3,환승경로,11,,11) 지상 1층으로 이동
99,AR,A1,A04,8,3,환승경로,12,,12) 가좌 방면 승강장
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A042,1,1,출입구-승강장,1,,1) 4번 출입구 근처 엘리베이터 이용
1,AR,A1,A042,1,1,출입구-승강장,2,,2) 지하 1층 대합실에서 고객 안내센터 방향의 반대 개찰구로 통과
2,AR,A1,A042,1,1,출입구-승강장,3,,3) 개찰구 통과후 김포공항방면 승강장과 연결되는 좌측 엘리베이터 이용
3,AR,A1,A042,1,1,출입구-승강장,4,,4) 김포공항 방면 승강장
4,AR,A1,A042,2,1,출입구-승강장,1,,1) 4번 출입구 근처 엘리베이터 이용
5,AR,A1,A042,2,1,출입구-승강장,2,,2) 지하 1층 대합실에서 고객 안내센터 방향의 개찰구로 통과
6,AR,A1,A042,2,1,출입구-승강장,3,,3) 개찰구 통과후 디지털 미디어시티방면 승강장과 연결되는 환승통로 근처의 엘리베이터 이용
7,AR,A1,A042,2,1,출입구-승강장,4,,4) 디지털미디어시티 방면 승강장
8,AR,A1,A042,3,1,출입구-승강장,1,,1) 5번 출입구 근처 엘리베이터 이용
9,AR,A1,A042,3,1,출입구-승강장,2,,2) 지하 1층 대합실에서 고객 안내센터 방향의 반대 개찰구로 통과
10,AR,A1,A042,3,1,출입구-승강장,3,,3) 개찰구 통과후 김포공항방면 승강장과 연결되는 좌측 엘리베이터 이용
11,AR,A1,A042,3,1,출입구-승강장,4,,4) 감포공항 방면 승강장
12,AR,A1,A042,4,1,출입구-승강장,1,,1) 5번 출입구 근처 엘리베이터 이용
13,AR,A1,A042,4,1,출입구-승강장,2,,2) 지하 1층 대합실에서 고객 안내센터 방향의 개찰구로 통과
14,AR,A1,A042,4,1,출입구-승강장,3,,3) 개찰구 통과후 디지털 미디어시티방면 승강장과 연결되는 환승통로 근처의 엘리베이터 이용
15,AR,A1,A042,4,1,출입구-승강장,4,,4) 디지털미디어시티 방면 승강장
16,AR,A1,A042,1,3,환승경로,1,,1) 승강장 하차 후 김포공항방면 반대방향 승강장 끝 엘리베이터로 이동
17,AR,A1,A042,1,3,환승경로,2,,2) 엘리베이터 이용하여 지하 1층으로 이동
18,AR,A1,A042,1,3,환승경로,3,,3) 9호선 환승통로 끝의 9호선 지하1층 방향 계단옆 엘리베이터 이동
19,AR,A1,A042,1,3,환승경로,4,,4) 9호선 대합실로 이동하여 신방화역 방면 승강장과 연결되는 엘리베이터 이동
20,AR,A1,A042,1,3,환승경로,5,,5) 9호선 신방화역 방면 승강장
21,AR,A1,A042,2,3,환승경로,1,,1) 승강장 하차 후 디지털미디어시티방면 승강장 끝 엘리베이터로 이동
22,AR,A1,A042,2,3,환승경로,2,,2) 엘리베이터 이용하여 지하 1층으로 이동
23,AR,A1,A042,2,3,환승경로,3,,3) 9호선 환승통로 끝의 9호선 지하1층 방향 계단옆 엘리베이터 이동
24,AR,A1,A042,2,3,환승경로,4,,4) 9호선 대합실로 이동하여 신방화역 방면 승강장과 연결되는 엘리베이터 이동
25,AR,A1,A042,2,3,환승경로,5,,5) 9호선 신방화역 방면 승강장
