name,population,disabled_population,disabled_percentage
종로구,157967,5929,0.037533156
중구,129797,5634,0.043406242
용산구,226938,7686,0.033868281
성동구,306796,11284,0.036780141
광진구,362304,12253,0.033819665
동대문구,358141,15518,0.043329303
중랑구,391668,20357,0.051975142
성북구,438734,17382,0.039618539
강북구,309138,17395,0.056269368
도봉구,328243,15300,0.046611809
노원구,534096,26904,0.050372967
은평구,462552,21756,0.047034712
서대문구,318874,12311,0.038607726
마포구,368181,12945,0.035159337
양천구,445591,17525,0.039329789
강서구,578539,28546,0.049341531
구로구,433765,18374,0.042359342
금천구,249344,11458,0.04595258
영등포구,395286,14495,0.036669652
동작구,397980,14417,0.036225438
관악구,510303,20211,0.039605881
서초구,409491,10291,0.025131199
강남구,507810,15182,0.029897009
송파구,638167,20356,0.031897607
강동구,414231,18614,0.04493628